url, QDM, FHIR
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.129, v20230214, v20230214
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.114, v20250207, v20250207
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.323, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.321, vGROUPED, v20230218
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.327, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.324, vGROUPED, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.341, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.339, vGROUPED, v20250207
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.366, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.364, vGROUPED, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.320, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.318, vGROUPED, v20240210
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.335, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.333, vGROUPED, v20240210
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.338, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.336, vGROUPED, v20240210
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.281, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.279, vGROUPED, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.329, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.326, vGROUPED, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.296, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.295, vGROUPED, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.308, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.306, vGROUPED, v20250207
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.292, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.291, vGROUPED, v20250207
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.272, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.271, vGROUPED, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.314, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.312, vGROUPED, v20230217
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.363, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.361, vGROUPED, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.311, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.309, vGROUPED, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.278, v20220316, v20220316
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.277, vGROUPED, v20230217
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.269, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.267, vGROUPED, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.284, v20220127, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1029.282, vGROUPED, v20220127
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.424, v20250206, v20250206
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.247, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.252, vGROUPED, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.251, vGROUPED, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.58, vGROUPED, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.57, vGROUPED, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.60, vGROUPED, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.59, vGROUPED, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.87, v20210611, v20210611
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.308, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.209, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.207, v20210611, v20210611
http://cts.nlm.nih.gov/fhir/ValueSet/1.3.6.1.4.1.33895.1.3.0.45, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.62, v20210409, v20210409
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.201, vGROUPED, v20250206
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.61, vGROUPED, v20250206
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.473, v20220212, v20220212
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.93, v20250206, v20250206
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.52, v20220219, v20220219
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.51, vGROUPED, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.263, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.337, vGROUPED, v20250206
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.335, vGROUPED, v20240203
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.279, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.328, vGROUPED, v20250206
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.330, vGROUPED, v20250206
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.264, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.340, vGROUPED, v20240203
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.338, vGROUPED, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.39, v20240203, v20240203
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.223, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.219, v20230117, v20230117
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.211, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.232, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.50, v20220219, v20220219
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.65, v20220212, v20220212
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.64, v20220212, v20220212
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1110.66, v20220212, v20220212
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.666.5.1743, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.348, vGROUPED, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.38, vGROUPED, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.134, v20220212, v20220212
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.202, v20240209, v20240209
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.245, vGROUPED, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.246, vGROUPED, v20250206
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.259, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.319, vGROUPED, v20250206
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.321, vGROUPED, v20240203
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.261, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.317, vGROUPED, v20230217
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.315, vGROUPED, v20250206
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.400, v20240203, v20240203
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.213, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.218, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.222, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.205, v20240203, v20240203
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1045.41, v20230117, v20230117
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.230, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.214, v20230117, v20230117
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.256, v20240203, v20240203
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.105.12.1004, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.105.11.1012, vGROUPED, v20250206
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.105.11.1010, vGROUPED, v20250206
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.212, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.234, vGROUPED, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.235, vGROUPED, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.255, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.361, vGROUPED, v20210406
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.365, vGROUPED, v20250206
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.257, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.310, vGROUPED, v20240203
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.313, vGROUPED, v20230118
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.258, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.325, vGROUPED, v20250206
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.323, vGROUPED, v20250206
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.260, v20210220, v20210220
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.346, vGROUPED, v20250206
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.117.1.7.1.344, vGROUPED, v20210220
